DateOfMatch,Penalty1,Penalty2,Penalty3,Penalty4,Penalty5,Penalty6,Penalty7,Penalty8,MatchID,PenaltiesID
01/01/2012,Nick Macleod,Nick Macleod,NULL,NULL,NULL,NULL,NULL,NULL,1000,1753
08/01/2012,Nick Macleod,Nick Macleod,Nick Macleod,Nick Macleod,NULL,NULL,NULL,NULL,1000,1754
10/02/2012,Nick Macleod,Nick Macleod,Nick Macleod,Nick Macleod,Nick Macleod,NULL,NULL,NULL,1000,1755
18/02/2012,Nick Macleod,Nick Macleod,Nick Macleod,Nick Macleod,NULL,NULL,NULL,NULL,1000,1756
24/02/2012,Nick Macleod,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1000,1757
03/03/2012,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1000,1758
23/03/2012,Nick Macleod,Nick Macleod,Nick Macleod,NULL,NULL,NULL,NULL,NULL,1000,1759
30/03/2012,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1000,1760
13/04/2012,Nick Macleod,Nick Macleod,Nick Macleod,NULL,NULL,NULL,NULL,NULL,1000,1761
21/04/2012,Nick Macleod,Nick Macleod,Nick Macleod,NULL,NULL,NULL,NULL,NULL,1000,1762
05/05/2012,Tommy Bell,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1000,1763
08/09/2012,Danny Cipriani,Danny Cipriani,Danny Cipriani,NULL,NULL,NULL,NULL,NULL,1000,1764
01/09/2012,Nick Macleod,Nick Macleod,NULL,NULL,NULL,NULL,NULL,NULL,1000,1765
15/09/2012,Danny Cipriani,Danny Cipriani,Danny Cipriani,NULL,NULL,NULL,NULL,NULL,1000,1766
21/09/2012,Danny Cipriani,Danny Cipriani,Danny Cipriani,Nick Macleod,NULL,NULL,NULL,NULL,1000,1767
29/09/2012,Nick Macleod,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1000,1768
05/10/2012,Nick Macleod,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1000,1769
14/10/2012,Nick Macleod,Nick Macleod,Nick Macleod,Nick Macleod,Rob Miller,NULL,NULL,NULL,1000,1770
21/10/2012,Rob Miller,Rob Miller,NULL,NULL,NULL,NULL,NULL,NULL,1000,1771
26/10/2012,Danny Cipriani,Danny Cipriani,NULL,NULL,NULL,NULL,NULL,NULL,1000,1772
02/11/2012,Nick Macleod,Danny Cipriani,Danny Cipriani,NULL,NULL,NULL,NULL,NULL,1000,1773
11/11/2012,Danny Cipriani,Danny Cipriani,Danny Cipriani,NULL,NULL,NULL,NULL,NULL,1000,1774
16/11/2012,Danny Cipriani,Rob Miller,NULL,NULL,NULL,NULL,NULL,NULL,1000,1775
24/11/2012,Danny Cipriani,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1000,1776
