ScoresID,DateOfMatch,HomeTeam,HomeScore,AwayTeam,AwayScore,Result,Competition,MatchID
1672,09/03/2002,6,42,1,14,L,1,NULL
1673,16/03/2002,1,27,3,22,W,1,NULL
1674,31/03/2002,8,30,1,10,L,1,NULL
1675,13/04/2002,1,53,12,47,W,1,NULL
1676,19/04/2002,1,23,2,3,W,1,NULL
1677,05/05/2002,7,32,1,36,W,1,NULL
1678,08/05/2002,1,35,9,20,W,1,NULL
1679,12/05/2002,1,40,24,11,W,1,NULL
1680,30/08/2002,1,24,11,21,W,1,NULL
1681,07/09/2002,6,44,1,8,L,1,NULL
1682,13/09/2002,1,29,4,16,W,1,NULL
1683,20/09/2002,9,29,1,29,D,1,NULL
1684,27/09/2002,1,20,24,16,W,1,NULL
1685,05/10/2002,1,36,7,14,W,1,NULL
1686,27/10/2002,8,31,1,20,L,1,NULL
1687,01/11/2002,1,28,12,14,W,1,NULL
1688,10/11/2002,5,24,1,18,L,1,NULL
1689,15/11/2002,1,37,2,26,W,1,NULL
1690,24/11/2002,3,25,1,32,W,1,NULL
1691,29/11/2002,1,36,5,18,W,1,NULL
1692,29/12/2002,12,18,1,6,L,1,NULL
1693,03/01/2003,1,38,8,3,W,1,NULL
1694,02/02/2003,7,11,1,23,W,1,NULL
1695,08/02/2003,24,0,1,45,W,1,NULL
1696,15/03/2003,1,32,9,20,W,1,NULL
1697,06/04/2003,4,33,1,20,L,1,NULL
1698,18/04/2003,1,30,6,30,D,1,NULL
1699,26/04/2003,11,27,1,17,L,1,NULL
1700,03/05/2003,1,9,3,16,L,1,NULL
1701,10/05/2003,2,34,1,19,L,1,NULL
1702,12/09/2003,1,37,11,37,D,1,NULL
1703,21/09/2003,8,9,1,8,L,1,NULL
1704,26/09/2003,1,9,5,14,L,1,NULL
1705,04/10/2003,4,16,1,22,W,1,NULL
1706,10/10/2003,1,33,3,37,L,1,NULL
1707,17/10/2003,14,14,1,28,W,1,NULL
1708,25/10/2003,24,21,1,30,W,1,NULL
1709,31/10/2003,1,26,7,28,L,1,NULL
1710,08/11/2003,1,37,9,21,W,1,NULL
1711,21/11/2003,1,33,2,3,W,1,NULL
1712,30/11/2003,7,9,1,3,L,1,NULL
1713,19/12/2003,1,27,24,27,D,1,NULL
1714,27/12/2003,1,35,14,7,W,1,NULL
1715,04/01/2004,3,26,1,10,L,1,NULL
