DateOfMatch,Attendance,MatchesID,AttendanceID
19/10/2007,7051,NULL,5684
23/11/2007,10197,NULL,5685
23/12/2007,10872,NULL,5686
30/12/2007,11116,NULL,5687
06/01/2008,9744,NULL,5688
25/01/2008,10216,NULL,5689
15/02/2008,8006,NULL,5690
23/02/2008,17498,NULL,5691
29/02/2008,7862,NULL,5692
09/03/2008,8712,NULL,5693
14/03/2008,9266,NULL,5694
28/03/2008,9068,NULL,5695
11/04/2008,8178,NULL,5696
15/04/2008,9823,NULL,5697
20/04/2008,10134,NULL,5698
04/05/2008,12638,NULL,5699
10/05/2008,10252,NULL,5700
07/09/2008,5224,2507,4404
12/09/2008,8321,2508,4405
19/09/2008,8111,2509,4406
26/09/2008,9019,2512,4409
01/10/2008,7563,2513,4410
14/11/2008,7602,2514,4411
23/11/2008,9027,2515,4412
28/11/2008,9586,2516,4413
20/12/2008,10600,2517,4414
26/12/2008,10841,2518,5410
09/01/2009,9430,2519,5411
31/01/2009,10387,2520,5421
14/02/2009,13466,2521,5422
20/02/2009,8605,2522,5423
01/03/2009,8311,2523,5424
08/03/2009,7907,2524,5425
14/03/2009,13250,2525,5426
22/03/2009,11592,2526,5427
27/03/2009,9808,2527,5428
04/04/2009,17498,2528,5414
17/04/2009,10841,2529,5430
25/04/2009,9724,2530,5431
03/08/2009,7907,2524,5413
04/09/2009,8751,1172,3211
13/09/2009,5155,1174,3212
18/09/2009,7028,1173,3213
26/09/2009,9510,1175,3030
02/10/2009,6924,1171,3031
11/10/2009,28534,1193,3032
16/10/2009,8156,1194,3235
24/10/2009,13055,1170,3236
30/10/2009,13055,1169,3237
06/11/2009,4539,1195,3033
13/11/2009,6759,1196,3034
22/11/2009,5955,1167,3238
05/12/2009,7101,1168,3239
13/12/2009,10533,1000,3240
20/12/2009,7768,1001,3241
27/12/2009,24000,1002,3242
01/01/2010,8172,1003,3243
16/01/2010,9172,1004,3244
24/01/2010,7820,1005,3245
29/01/2010,6506,1006,3035
06/02/2010,10165,1007,3036
14/02/2010,7173,1176,3246
19/02/2010,7426,1177,3247
27/02/2010,10548,1178,3248
07/03/2010,10548,1179,3249
19/03/2010,7493,1180,3250
28/03/2010,21535,1181,3251
02/04/2010,7291,1182,3252
09/04/2010,6952,1192,3253
17/04/2010,11700,1183,3254
23/04/2010,9336,1184,3255
08/05/2010,12795,1185,3037
03/09/2010,7815,1186,3189
12/09/2010,6087,1187,3192
17/09/2010,6026,1188,3193
25/09/2010,11618,1189,3194
01/10/2010,7202,1190,3195
08/10/2010,4666,1008,3043
16/10/2010,1503,1009,3044
22/10/2010,5571,1191,3196
31/10/2010,3648,1010,3042
05/11/2010,6594,1011,3038
14/11/2010,3684,1012,3039
19/11/2010,8091,1013,3197
27/11/2010,7171,1014,3198
11/12/2010,3614,1015,3045
20/12/2010,5691,1016,3046
27/12/2010,24000,1017,3199
02/01/2011,8646,1018,3049
07/01/2011,4225,1019,3200
14/01/2011,4412,1020,3047
22/01/2011,900,1021,3048
28/01/2011,3568,1022,3041
06/02/2011,7862,1023,3040
11/02/2011,7065,1197,3201
19/02/2011,11825,1198,3202
25/02/2011,8115,1199,3203
06/03/2011,8077,1200,3204
25/03/2011,6972,1201,3205
02/04/2011,13312,1203,3206
08/04/2011,6888,1202,3207
16/04/2011,16428,1204,3209
22/04/2011,7462,1205,3208
07/05/2011,14151,1206,3210
03/09/2011,8602,1207,3256
09/09/2011,6547,1208,3257
17/09/2011,5078,1209,3259
23/09/2011,6250,1215,3258
01/10/2011,10802,1216,3260
08/10/2011,8088,1217,3261
15/10/2011,9934,1210,3262
21/10/2011,4629,1212,3263
28/10/2011,8673,1218,3264
06/11/2011,6012,1219,3265
12/11/2011,5500,1211,3266
18/11/2011,4900,1238,3267
25/11/2011,6877,1220,3268
03/12/2011,12040,1221,3269
08/12/2011,3117,1213,3270
18/12/2011,4915,1214,3271
26/12/2011,9045,1222,3272
01/01/2012,23132,1227,3273
08/01/2012,8088,1228,3274
14/01/2012,2000,1223,3275
19/01/2012,6955,1224,3276
29/01/2012,4095,1225,3277
04/02/2012,3012,1226,3278
10/02/2012,5926,1229,3279
18/02/2012,13344,1230,3280
24/02/2012,7829,1231,3281
03/03/2012,7108,1232,3282
23/03/2012,9476,1233,3283
30/03/2012,5200,1234,3284
13/04/2012,8043,1235,3285
21/04/2012,14491,1236,3286
05/05/2012,10149,1237,3287
01/09/2012,5568,1240,3289
08/09/2012,7451,1239,3288
15/09/2012,13432,1241,3290
21/09/2012,7479,1242,3291
29/09/2012,11073,1243,3292
05/10/2012,8212,1244,3293
14/10/2012,5853,1245,3294
21/10/2012,10414,1246,3295
26/10/2012,8669,1247,3296
02/11/2012,5723,1248,3297
11/11/2012,8654,1249,3298
16/11/2012,5243,1250,3299
24/11/2012,12501,1251,3300
30/11/2012,5307,1252,3301
08/12/2012,9154,1253,3302
16/12/2012,13935,1254,3303
23/12/2012,6486,1255,3304
28/12/2012,6347,1256,3305
06/01/2013,5472,1270,3306
11/01/2013,6088,1257,3307
19/01/2013,7473,1440,3308
26/01/2013,3108,1258,3309
02/02/2013,5430,1259,3310
08/02/2013,8232,1262,3311
17/02/2013,4074,1263,3312
22/02/2013,7103,1264,3313
02/03/2013,20585,1265,3314
10/03/2013,3129,1260,3315
17/03/2013,8100,1261,3316
22/03/2013,6541,1442,3317
31/03/2013,6968,1266,3318
12/04/2013,8023,1267,3319
20/04/2013,13493,1268,3320
04/05/2013,9783,1269,3321
07/09/2013,12635,1271,3337
13/09/2013,6876,1272,3338
20/09/2013,5372,1273,3339
27/09/2013,12782,1274,3340
04/10/2013,5719,1275,3341
10/10/2013,3153,1276,3342
19/10/2013,6312,1277,3343
26/10/2013,11885,1278,3344
01/11/2013,6153,1279,3345
08/11/2013,3572,1280,3346
15/11/2013,12049,1281,3347
22/11/2013,5755,1289,3348
30/11/2013,7126,1290,3349
05/12/2013,8717,1284,3350
13/12/2013,3689,1285,3351
20/12/2013,6823,1291,3352
28/12/2013,24000,1292,3353
03/01/2014,4143,1293,3323
10/01/2014,3027,1286,3354
18/01/2014,8139,1287,3355
25/01/2014,3462,1282,3356
31/01/2014,3189,1283,3357
07/02/2014,6059,1294,3358
14/02/2014,5737,1295,3359
22/02/2014,6214,1296,3360
01/03/2014,5502,1297,3361
22/03/2014,5428,1298,3362
28/03/2014,11873,1299,3363
03/04/2014,4650,1288,3364
11/04/2014,5837,1300,3365
19/04/2014,5837,1301,3366
03/05/2014,10092,1302,3367
10/05/2014,8791,1303,3368
06/09/2014,5353,1133,3159
13/09/2014,12353,1154,3160
20/09/2014,4953,1141,3371
27/09/2014,8451,1142,3233
05/10/2014,5065,1143,3165
11/10/2014,13362,1144,3234
18/10/2014,9879,1443,3231
26/10/2014,17591,1155,3001
01/11/2014,3511,1145,3166
09/11/2014,17739,1146,3369
15/11/2014,4753,1147,3167
21/11/2014,13067,1148,3168
30/11/2014,5572,1149,3370
06/12/2014,7053,1150,3002
13/12/2014,7561,1151,3169
19/12/2014,5266,1152,3170
27/12/2014,11247,1153,3171
04/01/2015,15343,1444,3232
10/01/2015,8311,1445,3324
17/01/2015,4953,1446,3000
25/01/2015,17685,1447,3325
01/02/2015,2857,1304,3326
07/02/2015,4312,1305,3327
15/02/2015,2811,1306,3328
21/02/2015,6217,1307,3329
28/02/2015,21896,1308,3330
06/03/2015,5575,1309,3331
29/03/2015,8159,1310,3332
12/04/2015,5575,1311,3333
25/04/2015,8159,1312,3334
09/05/2015,7058,1313,3335
16/05/2015,12642,1314,3336
17/10/2015,7231,1104,3136
23/10/2015,4356,1105,3137
01/11/2015,5072,1106,3138
06/11/2015,12157,1107,3139
15/11/2015,4455,1108,3140
21/11/2015,4006,1109,3141
28/11/2015,5220,1110,3142
04/12/2015,11583,1111,3143
12/12/2015,6816,1112,3144
19/12/2015,4525,1113,3145
26/12/2015,12425,1114,3146
02/01/2016,7619,1115,3147
15/01/2016,6000,1116,3148
21/01/2016,4015,1118,3149
30/01/2016,6461,1117,3150
06/02/2016,22737,1119,3226
13/02/2016,4236,1120,3151
20/02/2016,7156,1121,3077
27/02/2016,5824,1122,3152
05/03/2016,7562,1123,3153
12/03/2016,14337,1124,3154
20/03/2016,12823,1125,3227
27/03/2016,7687,1126,3228
02/04/2016,5541,1127,3229
08/04/2016,4557,1128,3230
17/04/2016,6278,1129,3155
23/04/2016,12684,1130,3156
29/04/2016,7352,1131,3157
07/05/2016,7089,1132,3158
02/09/2016,5523,1061,3062
09/09/2016,6217,1062,3063
16/09/2016,5902,1063,3064
24/09/2016,6136,1064,3065
01/10/2016,7509,1065,3066
07/10/2016,13913,1066,3067
15/10/2016,6521,1315,3068
21/10/2016,9402,1083,3069
30/10/2016,14025,1067,3070
