MatchID,DateOfMatch,Fullback,RightWinger,OutsideCentre,InsideCentre,LeftWinger,FlyHalf,ScrumHalf,LooseHeadProp,Hooker,TightHeadProp,SecondRow4,SecondRow5,BlindSideFlanker,OpensideFlanker,Number8,Replacement1,Replacement2,Replacement3,Replacement4,Replacement5,Replacement6,Replacement7,Replacement8,MatchesID
113,25/03/2017,Mike Haley,Denny Solomona,Sam James,Mark Jennings,Byron McGuigan,AJ MacGinty,Mike Phillips,Ross Harrison,Rob Webber,Halani Aulika,Bryn Evans,Andrei Ostrikov,Cameron Neild,Tom Curry,Josh Beaumont ,Ben Curry,James Flynn,Kieran Longbottom,George Nott,Laurence Pearce,James Mitchell,Sam Bedlow,Josh Charnley,1078
114,07/04/2017,Mike Haley,Denny Solomona,Sam James,Mark Jennings,Byron McGuigan,AJ MacGinty,Mike Phillips,Ross Harrison,Rob Webber,Halani Aulika,Bryn Evans,Andrei Ostrikov,Cameron Neild,Tom Curry,Josh Beaumont ,Ben Curry,Jake Pope,Kieran Longbottom,George Nott,Laurence Pearce,James Mitchell,Sam Bedlow,Josh Charnley,1079
115,15/04/2017,Mike Haley,Denny Solomona,Sam James,Mark Jennings,Byron McGuigan,AJ MacGinty,Mike Phillips,Ross Harrison,Rob Webber,Halani Aulika,Bryn Evans,Andrei Ostrikov,Cameron Neild,Ben Curry,Josh Beaumont ,Tom Curry,James Flynn,Kieran Longbottom,George Nott,Laurence Pearce,James Mitchell,Sam Bedlow,Josh Charnley,1080
116,29/04/2017,Mike Haley,Denny Solomona,Sam James,Mark Jennings,Josh Charnley,AJ MacGinty,Mike Phillips,Ross Harrison,Rob Webber ,Kieran Longbottom,Bryn Evans,George Nott,Cameron Neild,Tom Curry,Laurence Pearce,Ben Curry,James Flynn,Diogo Ferreira,Magnus Lund,David Seymour,Peter Stringer,Johnny Leota,Byron McGuigan,1081
117,06/05/2017,Mike Haley,Denny Solomona,Sam James,Johnny Leota,Byron McGuigan,AJ MacGinty,Mike Phillips,James Flynn,Rob Webber,Ross Harrison,Bryn Evans,Andrei Ostrikov,Ben Curry,Tom Curry,Josh Beaumont ,Neil Briggs,Jake Pope,Diogo Ferreira,George Nott,Magnus Lund,Peter Stringer,Mark Jennings,Josh Charnley,1082
128,02/09/2017,Mike Haley ,Denny Solomona ,Will Addison ,Sam James,Byron McGuigan,AJ MacGinty,Faf de Klerk,Ross Harrison,Rob Webber,Halani Aulika,Bryn Evans,Josh Beaumont ,Jono Ross,Ben Curry,Josh Strauss,Marc Jones,James Flynn,Alexandru Tarus ,Tom Curry,TJ Ioane,Will Cliff,Mark Jennings,Andrei Ostrikov,1092
129,08/09/2017,Mike Haley ,Denny Solomona ,Will Addison ,Mark Jennings,Byron McGuigan,AJ MacGinty,Faf de Klerk,Ross Harrison,Cameron Neild,Alexandru Tarus ,Andrei Ostrikov,Josh Beaumont ,Jono Ross,Tom Curry,Josh Strauss,Marc Jones,James Flynn,Willgriff John,George Nott,Ben Curry,TJ Ioane,Will Cliff,Sam James,1093
130,15/09/2017,Will Addison ,Denny Solomona ,Sam James,Mark Jennings,Josh Charnley,AJ MacGinty,Faf de Klerk,Ross Harrison,Marc Jones,Alexandru Tarus ,Bryn Evans,Josh Beaumont ,Jono Ross,Ben Curry,Josh Strauss,Rob Webber,James Flynn,Halani Aulika,Andrei Ostrikov,Tom Curry,TJ Ioane,Will Cliff,Mike Haley,1094
52,23/09/2017,Mike Haley ,Denny Solomona ,Sam James,Mark Jennings,Josh Charnley,AJ MacGinty,Faf de Klerk,Ross Harrison,Rob Webber,Alexandru Tarus ,Bryn Evans,Josh Beaumont ,Jono Ross,Tom Curry,Josh Strauss,Byron McGuigan,Ben curry,James Flynn,Halani Aulika,Andrei Ostrikov,Cameron Neild,TJ Ioane,Will Cliff,1037
53,29/09/2017,Mike Haley ,Denny Solomona ,Sam James,Mark Jennings,Byron McGuigan,AJ MacGinty,Faf de Klerk,Ross Harrison,Rob Webber,Alexandru Tarus ,Bryn Evans,Josh Beaumont ,Jono Ross,Ben Curry,Josh Strauss,Marc Jones,James Flynn,Halani Aulika,Andrei Ostrikov,Tom Curry,Cameron Neild,Will Cliff,James O'Connor,1038
54,06/10/2017,Mike Haley,Denny Solomona,Sam James,Mark Jennings,Byron McGuigan,AJ MacGinty,Faf de Klerk,Ross Harrison,Marc Jones,Alexandru Tarus,Bryn Evans,Josh Beaumont,Jono Ross ,Ben Curry,Josh Strauss,Rob Webber,James Flynn,Halani Aulika,Andrei Ostrikov,TJ Ioane,Cameron Neild,Will Cliff,James O'Connor,1039
71,13/10/2017,Mike Haley,Denny Solomona,Sam James,Mark Jennings,Josh Charnley,James O'Connor,Faf de Klerk,Ross Harrison,Rob Webber,Halani Aulika,Bryn Evans,Andrei Ostrikov,Cameron Neild,Ben Curry,Jono Ross,Marc Jones,James Flynn,George Nott,Laurence Pearce,David Seymour,Will Cliff,Alexandru Tarus,Arron Reed,1043
151,20/10/2017,Mike Haley,Denny Solomona,Sam James,Mark Jennings,Josh Charnley,James O'Connor,Faf de Klerk,Ross Harrison,Rob Webber,Willgriff John,Bryn Evans,Andrei Ostrikov,Cameron Neild,Ben Curry,Jono Ross,Marc Jones,James Flynn,Alexandru Tarus,George Nott,David Seymour,Will Cliff,Laurence Pearce,Arron Reed,1098
