DateOfMatch,Try1,Try2,Try3,Try4,Try5,Try6,Try7,Try8,Try9,Try10,Try11,Try12,Try13,Try14,Try15,MatchID,TryID
24/11/2019,Chris Ashton,Penalty Try,Rohan Janse Van Rensburg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1466,2163
30/11/2019,Faf de Klerk,Chris Ashton,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1157,2164
08/12/2019,Akker Van der Merwe,Akker Van der Merwe,Jono Ross,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1158,2165
15/12/2019,Sam James,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1159,2166
21/12/2019,Chris Ashton,Rohan Janse Van Rensburg,Akker van der Merwe,Akker van der Merwe,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1467,2167
28/12/2019,Akker van der Merwe,Byron McGuigan,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1160,2168
03/01/2020,Akker van der Merwe,Sam James,Luke James,Rob Webber,Chris Ashton,Rohan Janse Van Rensburg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1161,2169
10/01/2020,Jean Luc du Preez,Curtis Langdon,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1162,2170
18/01/2020,Jake Cooper-Woolley,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1163,2171
25/01/2020,Chris Ashton,Dan du Preez,Byron McGuigan,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1164,2172
07/02/2020,Denny Solomona,Will Cliff,Ben Curry,Akker van der Merwe,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1165,2173
16/02/2019,Penalty Try,Denny Solomona,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1053,2174
23/02/2019,Rob Webber,Denny Solomona,Penalty Try,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1054,2175
08/03/2019,Bryn Evans,Denny Solomona,Valery Morozov,Josh Beaumont,Faf de Klerk,Penalty Try,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1056,2176
02/03/2019,Sam James,Will Cliff,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1055,2177
23/03/2019,Denny Solomona,Byron McGuigan,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1057,2178
29/03/2019,Byron McGuigan,Denny Solomona,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1049,2179
05/04/2019,Byron McGuigan,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1058,2180
27/09/2014,David Seymour,Tom Brady,Penalty Try,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1142,2181
15/02/2020,Byron McGuigan,Dan du Preez,Rob du Preez,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1468,2182
21/02/2020,Bryn Evans,Marland Yarde,Coenie Oosthuizen,Marland Yarde,Marland Yarde,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1166,2183
28/02/2020,Luke James,Bryn Evans,Marland Yarde,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1469,2184
06/03/2020,Sam James,Luke James,Rob Webber,Sam James,Marland Yarde,Byron Mcguigan,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1470,2185
22/11/2009,Ben Cohen,Richard Wigglesworth,Carl Fearns,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1167,2186
05/12/2009,Sisa Koyamaibole,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1168,2187
30/10/2009,Lee Thomas,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1169,2188
24/10/2009,James Gaskell,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1170,2189
02/10/2009,Eifion Lewis-Roberts,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1171,2190
04/09/2009,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1172,2191
13/09/2009,Mark Cueto,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1174,2192
18/09/2009,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1173,2193
26/09/2009,Chris Bell,Mathew Tait,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1175,2194
14/02/2010,Gavin Kerr,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1176,2195
19/02/2010,Kris Ormsby,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1177,2196
27/02/2010,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1178,2197
07/03/2010,Ben Cohen,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1179,2198
19/03/2010,Richard Wigglesworth,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1180,2199
28/03/2010,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1181,2200
02/04/2010,Mark Cueto,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1182,2201
17/04/2010,Ben Cohen,Kris Ormsby,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1183,2202
23/04/2010,Marika Vakacegu,Kris Ormsby,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1184,2203
08/05/2010,Sisa Koyamaibole,Mathew Tait,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1185,2204
03/09/2010,Sisa Koyamaibole,Tom Brady,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1186,2205
12/09/2010,David Seymour,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1187,2206
17/09/2010,Mark Cueto,Kyle Tonetti,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1188,2207
25/09/2010,Wame Lewaravu,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1189,2208
01/10/2010,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1190,2209
22/10/2010,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1191,2210
09/04/2010,Sisa Koyamaibole,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1192,2211
11/10/2009,Rob O'Donnell,Ben Cohen,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1193,2212
16/10/2009,Sisa Koyamaibole,Dean Schofield,James Gaskell,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1194,2213
06/11/2009,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1195,2214
13/11/2009,Marika Vakacegu,Oriol Ripol Fortuny,Rob O'Donnell,David Seymour,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1196,2215
11/02/2011,Ben Cohen,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1197,2216
03/09/2011,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1207,2217
09/09/2011,Henry Thomas,James Gaskell,Dwayne Peel,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1208,2218
17/09/2011,Fraser McKenzie,David Seymour,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1209,2219
12/11/2011,Tom Brady,Johnny Leota,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1211,2220
21/10/2011,Will Addison,Alasdair Dickinson,Johnny Leota,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1212,2221
18/11/2011,Penalty Try,Andy Powell,Andrew Higgins,Johnny Leota,Luther Burrell,Cillian Willis,Richie Vernon,Johnny Leota,Johnny Leota,NULL,NULL,NULL,NULL,NULL,NULL,1238,2222
08/12/2011,James Gaskell,Marc Jones,Richie Vernon,Luther Burrell,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1213,2223
18/12/2011,Tom Brady,David Seymour,Tom Brady,Cillian Willis,Scott Mathie,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1214,2224
23/09/2011,Mark Easter,David Seymour,Dwayne Peel,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1215,2225
01/10/2011,Rob Miller,Joaquín Tuculet,Dwayne Peel,Rob Miller,Tom Brady,Vadim Cobîla,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1216,2226
08/10/2011,David Seymour,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1217,2227
28/10/2011,Tom Brady,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1218,2228
06/11/2011,Rob Miller,Mark Easter,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1219,2229
25/11/2011,Henry Thomas,Sam Tuitupou,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1220,2230
03/12/2011,Mark Cueto,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1221,2231
26/12/2011,Tom Brady,Mark Cueto,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1222,2232
14/01/2012,Tom Brady,Joaquín Tuculet,Joe Ward,Rob Miller,Richie Vernon,Will Cliff,Rob Miller,Tom Brady,Scott Mathie,Richie Vernon,Jordan Davies,NULL,NULL,NULL,NULL,1223,2233
19/01/2012,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1224,2234
29/01/2012,Nick Macleod,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1225,2235
04/02/2012,Hendre Foure,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1226,2236
01/01/2012,Fraser McKenzie,Rob Miller,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1227,2237
08/01/2012,Rob Miller,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1228,2238
10/02/2012,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1229,2239
21/09/2012,Tom Brady,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1242,2240
29/09/2012,Johnny Leota,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1243,2241
08/09/2012,Will Addison,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1239,2242
05/10/2012,Rob Miller,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1244,2243
14/10/2012,Danny Cipriani,Mark Jennings,Tony Buckley,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1245,2244
21/10/2012,Mark Cueto,Richie Vernon,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1246,2245
26/10/2012,Mark Cueto,Nick Macleod,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1247,2246
02/11/2012,Nick Macleod,Johnny Leota,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1248,2247
11/11/2012,Dwayne Peel,Danny Cipriani,Charlie Amesbury,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1249,2248
06/02/2016,Josh Beaumont,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1119,2249
20/03/2016,David Seymour,Neil Briggs,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1125,2250
27/03/2016,Cameron Neild,Nev Edwards,Danny Cipriani,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1126,2251
02/04/2016,Mike Haley,TJ Ioane,Danny Cipriani,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1127,2252
08/04/2016,Tom Brady,Sam James,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1128,2253
01/09/2012,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1240,2254
15/09/2012,Richie Vernon,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1241,2255
16/11/2012,Mark Cueto,Penalty Try,Fraser McKenzie,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1250,2256
24/11/2012,Rob Miller,Tommy Taylor,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1251,2257
30/11/2012,Rob Miller,Tommy Taylor,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1252,2258
08/12/2012,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1253,2259
16/12/2012,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1254,2260
23/12/2012,Richie Vernon,Johnny Leota,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1255,2261
28/12/2012,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1256,2262
06/01/2013,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1270,2263
11/01/2013,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1257,2264
07/09/2013,Mark Cueto,Andy Forsyth,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1271,2265
13/09/2013,Dan Braid,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1272,2266
20/09/2013,Mark Cueto,Danny Cipriani,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1273,2267
27/09/2013,Mark Cueto,Marc Jones,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1274,2268
04/10/2013,Andy Forsyth,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1275,2269
10/10/2013,Andrei Ostrikov,Penalty Try,Penalty Try,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1276,2270
19/10/2013,Rob Miller,Penalty Try,Dwayne Peel,Mark Easter,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1277,2271
26/10/2013,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1278,2272
01/11/2013,Mark Cueto,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1279,2273
08/11/2013,Michael Paterson,Mike Haley,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1280,2274
15/11/2013,David Seymour,Rob Miller,James Gaskell,Danny Cipriani,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1281,2275
25/01/2014,Mark Easter,Charlie Ingall,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1282,2276
31/01/2014,Viliami Fihaki,Viliami Fihaki,Tom Holmes,Charlie Ingall,Mike Haley,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1283,2277
05/12/2013,Phil Mackenzie,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1284,2278
13/12/2013,James Gaskell,Danny Cipriani,Danny Cipriani,Dan Braid,Mark Cueto,Rob Miller,Michael Paterson,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1285,2279
10/01/2014,Dwayne Peel,Jonathan Mills,Sam Tuitupou,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1286,2280
18/01/2014,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1287,2281
03/04/2014,Henry Thomas,Viliami Fihaki,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1288,2282
22/11/2013,Mark Cueto,James Gaskell,Dan Braid,Tom Arscott,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1289,2283
30/11/2013,Danny Cipriani,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1290,2284
20/12/2013,Tom Brady,David Seymour,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1291,2285
28/12/2013,Mark Cueto,Charlie Ingall,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1292,2286
03/01/2014,Tom Brady,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1293,2287
07/02/2014,Rob Miller,Rob Miller,Dan Braid,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1294,2288
14/02/2014,Marc Jones,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1295,2289
19/02/2011,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1198,2290
25/02/2011,Chris Bell,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1199,2291
06/03/2011,Ben Cohen,Wame Lewaravu,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1200,2292
25/03/2011,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1201,2293
08/04/2011,Paul Williams,Paul Williams,Will Addison,Charlie Hodgson,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1202,2294
02/04/2011,Marc Jones,Wame Lewaravu,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1203,2295
16/04/2011,Sean Cox,Wame Lewaravu,Will Addison,Charlie Hodgson,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1204,2296
22/04/2011,Chris Bell,Wame Lewaravu,Will Addison,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1205,2297
07/05/2011,Neil Briggs,Neil McMillan,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1206,2298
15/10/2011,Richie Vernon,Andrew Higgins,Rob Miller,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1210,2299
18/02/2012,Mark Cueto,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1230,2300
24/02/2012,Sam Tuitupou,Sam Tuitupou,Dwayne Peel,Andy Powell,Rob Miller,Johnny Leota,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1231,2301
03/03/2012,Luther Burrell,Tony Buckley,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1232,2302
23/03/2012,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1233,2303
30/03/2012,Tom Brady,James Gaskell,Rob Miller,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1234,2304
13/04/2012,Rob Miller,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1235,2305
21/04/2012,Rob Miller,Rob Miller,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1236,2306
05/05/2012,Will Addison,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1237,2307
19/01/2013,Tommy Taylor,Aston Croall,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1440,2308
26/01/2013,Richie Vernon,Charlie Amesbury,Danny Cipriani,Charlie Ingall,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1258,2309
02/02/2013,Penalty Try,Kearnan Myall,Sam Tuitupou,Tommy Taylor,Danny Cipriani,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1259,2310
08/02/2013,Dan Braid,Mark Cueto,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1262,2311
10/03/2013,Tom Holmes,Nathan Fowles,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1260,2312
17/03/2013,Johnny Leota,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1261,2313
17/02/2013,Will Cliff,Dan Braid,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1263,2314
22/02/2013,Cameron Shepherd,Richie Vernon,Sam Tuitupou,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1264,2315
02/03/2013,Andy Powell,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1265,2316
22/03/2013,Tom Brady,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1442,2317
31/03/2013,Henry Thomas,Mark Cueto,Kearnan Myall,James Gaskell,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1266,2318
12/04/2013,Johnny Leota,Dwayne Peel,Dwayne Peel,Mark Cueto,Cameron Shepherd,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1267,2319
20/04/2013,James Gaskell,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1268,2320
04/05/2013,Tom Brady,Dan Braid,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1269,2321
22/02/2014,Mark Cueto,Dan Braid,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1296,2322
01/03/2014,Johnny Leota,Dan Braid,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1297,2323
22/03/2014,Mark Cueto,Marc Jones,Tom Brady,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1298,2324
28/03/2014,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1299,2325
11/04/2014,Tom Brady,Penalty Try,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1300,2326
19/04/2014,Michael Paterson,Tom Arscott,Sam Tuitupou,Sam Tuitupou,Dwayne Peel,David Seymour,Tom Brady,Andrei Ostrikov,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1301,2327
03/05/2014,Michael Paterson,Henry Thomas,Johnny Leota,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1302,2328
10/05/2014,Tom Arscott,Mark Easter,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1303,2329
01/02/2015,Viliami Fihaki,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1304,2330
07/02/2015,Dan Braid,Mike Haley,Tom Arscott,Tom Arscott,Tom Brady,Viliami Fihaki,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1305,2331
