DateOfMatch,Try1,Try2,Try3,Try4,Try5,Try6,Try7,Try8,Try9,Try10,Try11,Try12,Try13,Try14,Try15,MatchID,TryID
14/11/2010,Sean Cox,Rhys Crane,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1012,2014
19/11/2010,Ben Cohen,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1013,2015
27/11/2010,Rhys Crane,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1014,2016
11/12/2010,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1015,2017
20/12/2010,Mathew Tait,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1016,2018
27/12/2010,Asaeli Boko,Dwayne Peel,Kristian Ormsby,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1017,2019
02/01/2011,Mark Cueto,James Gaskell,Tommy Bell,NULL,NULL,NULL,NULL,Tommy Bell,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1018,2020
07/01/2011,Sisa Koyamaibole,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1019,2021
14/01/2011,Nick Macleod,Mathew Tait,Mathew Tait,Rob Miller,Will Cliff,Henry Thomas,Neil McMillan,Chris Brightwell,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1020,2022
22/01/2011,Jonny Kennedy,Jonny Kennedy,Mathew Tait,Fergus Mulchrone,Rob Miller,Kyle Tonetti,Lee Imiolek,Chris Jones,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1021,2023
28/01/2011,Henry Thomas,Aston Croall,Aston Croall,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1022,2024
06/02/2011,Nick Macleod,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1023,2025
01/09/2018,AJ MacGinty,Marland Yarde,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1462,2026
09/09/2018,Josh Beaumont,Denny Solomona,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1463,2027
15/09/2018,Bryn Evans,Marland Yarde,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1024,2028
22/09/2018,Jono Ross,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1025,2029
30/09/2018,Curtis Langdon,Rob Webber,Marland Yarde,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1026,2030
06/10/2018,Bryn Evans,Rohan Janse Van Rensburg,James Phillips,NULL,Rohan Janse Van Rensburg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1027,2031
17/11/2018,Byron McGuigan,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1028,2032
24/11/2018,Denny Solomona,Denny Solomona,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1029,2033
02/12/2018,Jean-Luc du Preez,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1030,2034
12/10/2018,Byron McGuigan,Byron McGuigan,Byron McGuigan,Rob Webber,Rohan Janse Van Rensburg,Luke James,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1464,2035
20/10/2018,Chris Ashton,Chris Ashton,Chris Ashton,Josh Beaumont,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1031,2036
08/12/2018,Paolo Odogwu,Paolo Odogwu,Chris Ashton,Chris Ashton,Ben Curry,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1032,2037
15/12/2018,Luke James,Rob Webber,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1033,2038
26/10/2018,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1034,2039
