redcardsID,DateOfMatch,redcard1,redcard2,MatchID
1281,28/11/2015,NULL,NULL,1110
1282,04/12/2015,NULL,NULL,1111
1283,12/12/2015,NULL,NULL,1112
1284,19/12/2015,NULL,NULL,1113
1285,26/12/2015,NULL,NULL,1114
1286,17/10/2015,NULL,NULL,1104
1287,23/10/2015,NULL,NULL,1105
1288,01/11/2015,NULL,NULL,1106
1289,06/11/2015,NULL,NULL,1107
1290,25/01/2015,NULL,NULL,1447
1292,20/01/2018,NULL,NULL,1450
1293,24/03/2018,NULL,NULL,1457
1294,17/01/2015,NULL,NULL,1446
1295,13/04/2018,NULL,NULL,1459
1296,06/01/2018,NULL,NULL,1448
1297,10/02/2018,NULL,NULL,1453
1298,28/04/2018,NULL,NULL,1460
1299,24/02/2018,NULL,NULL,1455
1300,16/02/2018,NULL,NULL,1454
1301,03/03/2018,NULL,NULL,1456
1302,13/01/2018,NULL,NULL,1449
1303,05/05/2018,NULL,NULL,1461
1304,27/01/2018,NULL,NULL,1451
1305,06/04/2018,NULL,NULL,1458
1306,02/02/2018,NULL,NULL,1452
1307,11/02/2011,NULL,NULL,1197
1308,19/02/2011,NULL,NULL,1198
1309,25/02/2011,NULL,NULL,1199
1310,06/03/2011,NULL,NULL,1200
1311,25/03/2011,NULL,NULL,1201
1312,08/04/2011,NULL,NULL,1202
1313,02/04/2011,Neil Briggs,NULL,1203
1314,16/04/2011,NULL,NULL,1204
1315,22/04/2011,NULL,NULL,1205
1316,07/05/2011,NULL,NULL,1206
1317,15/10/2011,NULL,NULL,1210
1318,18/02/2012,NULL,NULL,1230
1319,24/02/2012,NULL,NULL,1231
1320,03/03/2012,NULL,NULL,1232
1321,23/03/2012,NULL,NULL,1233
1322,30/03/2012,NULL,NULL,1234
1323,13/04/2012,NULL,NULL,1235
1324,21/04/2012,NULL,NULL,1236
1325,05/05/2012,NULL,NULL,1237
1326,22/02/2014,NULL,NULL,1296
1327,01/03/2014,NULL,NULL,1297
1328,22/03/2014,NULL,NULL,1298
1329,28/03/2014,NULL,NULL,1299
1330,11/04/2014,NULL,NULL,1300
1331,19/04/2014,NULL,NULL,1301
1332,03/05/2014,NULL,NULL,1302
1333,10/05/2014,NULL,NULL,1303
1334,01/02/2015,NULL,NULL,1304
1335,07/02/2015,NULL,NULL,1305
1336,15/02/2015,NULL,NULL,1306
1337,21/02/2015,NULL,NULL,1307
1338,28/02/2015,NULL,NULL,1308
1339,06/03/2015,NULL,NULL,1309
1340,29/03/2015,NULL,NULL,1310
1341,12/04/2015,NULL,NULL,1311
1342,25/04/2015,NULL,NULL,1312
1343,09/05/2015,NULL,NULL,1313
1344,16/05/2015,Ross Harrison,NULL,1314
1345,01/09/2018,NULL,NULL,1462
1346,09/09/2018,NULL,NULL,1463
1347,02/09/2005,NULL,NULL,1471
1348,10/09/2005,NULL,NULL,1472
1349,16/09/2005,NULL,NULL,1473
1350,25/09/2005,NULL,NULL,1474
1351,14/10/2005,NULL,NULL,1475
1352,05/11/2005,Lionel Faure,NULL,1476
1353,11/11/2005,NULL,NULL,1477
1354,18/11/2005,NULL,NULL,1478
1355,27/11/2005,NULL,NULL,1479
1356,26/12/2005,NULL,NULL,1480
1357,02/01/2006,NULL,NULL,1481
1358,08/01/2006,NULL,NULL,1484
1360,28/01/2006,NULL,NULL,1486
1361,11/02/2006,NULL,NULL,1487
1362,17/02/2006,NULL,NULL,1488
1363,26/02/2006,Sebastien Chabal,NULL,1489
1364,10/03/2006,NULL,NULL,1490
1365,25/03/2006,NULL,NULL,1491
1366,08/04/2006,NULL,NULL,1492
1367,16/04/2006,NULL,NULL,1493
1368,28/04/2006,NULL,NULL,1494
1369,06/05/2006,NULL,NULL,1495
1370,14/05/2006,NULL,NULL,1496
1371,27/05/2006,NULL,NULL,1497
2370,02/10/2005,NULL,NULL,2497
2371,07/10/2005,NULL,NULL,2498
2372,02/12/2005,NULL,NULL,2499
2373,21/10/2005,NULL,NULL,2500
2374,28/10/2005,NULL,NULL,2501
2375,09/12/2005,NULL,NULL,2502
2376,16/12/2005,NULL,NULL,2503
2377,15/01/2006,NULL,NULL,2504
2378,21/01/2006,NULL,NULL,2505
2379,02/04/2006,NULL,NULL,2506
2380,07/09/2008,NULL,NULL,2507
2381,12/09/2008,NULL,NULL,2508
2383,19/09/2008,NULL,NULL,2511
2385,26/09/2008,NULL,NULL,2512
2386,01/10/2008,NULL,NULL,2513
2387,14/11/2008,NULL,NULL,2514
2388,23/11/2008,NULL,NULL,2515
2389,28/11/2008,NULL,NULL,2516
2390,20/12/2008,NULL,NULL,2517
3382,14/08/2020,NULL,NULL,3509
3383,21/08/2020,NULL,NULL,3510
3384,25/08/2020,NULL,NULL,3511
