PlayerID,Player,DateOfBirth,PlaceOfBirth,DateSigned,OldClub
1316,Hendre Foure,19/09/1979,Burgersdrop,01/07/2011,9
1317,Billy Emerson,11/10/1992,Stockport,01/07/2011,100
1318,Charlie Amesbury,08/04/1986,Portsmouth,01/07/2011,8
1319,Andrew Higgins,13/07/1981,Epping,01/07/2011,13
1320,Joe Ward,03/06/1980,Dannevirke,04/01/2011,3
1321,Fraser McKenzie,28/03/1988,Dunfermiline,04/01/2011,25
1322,Scott Mathie,01/02/1983,Durban,04/01/2011,9
1323,Mark Jennings,27/02/1993,Namibia,02/01/2012,100
1324,Dan Braid,23/02/1981,Tauranga,12/05/2012,39
1325,Josh Beaumont,24/03/1992,Blackpool,12/06/2012,100
1326,Cameron Shepherd,30/03/1984,Windsor,15/06/2012,44
1327,Danny Cipriani,02/11/1987,Roehampton,15/07/2012,58
1328,Richie Gray,24/08/1989,Glasgow,15/08/2012,16
1329,James Flynn,05/10/1993,Sale,12/02/2012,100
1330,Sam James,03/07/1994,Manchester,15/02/2012,100
1331,Charlie Ingall,19/07/1989,Hillingdon,30/06/2012,3
1332,Tom Cruse,30/03/1989,Stockport,01/07/2012,100
1333,Luther Burrell,06/12/1987,Huddersfield,01/07/2012,9
1334,Corne Uys,02/10/1981,Alberton,04/01/2012,8
1335,James Doyle,19/07/1991,Auckland,01/07/2012,35
1336,Mike Haley,28/06/1994,Preston,02/01/2013,100
1337,James Mitchell,11/02/1995,Maidstone,25/01/2013,100
1338,Joe Ford,04/06/1990,Oldham,01/06/2013,9
1339,Mikaele Pesamino,08/08/1995,Bury,15/06/2013,100
1340,Michael Paterson,09/05/1985,Christchurch,12/07/2013,23
1341,Cameron Neild,06/09/1994,Manchester,07/06/2013,40
1342,George Nott,26/01/1996,Bodelwyddan,22/03/2013,100
1343,Jonathan Mills,12/02/1984,Wales,03/07/2013,59
1344,Tom Arscott,25/08/1987,Plymouth,21/03/2013,59
1345,Andy Forsyth,09/09/1990,Clayton West,15/07/2013,89
1346,Viliami Fihaki,17/01/1987,Nuku'alofa,15/06/2013,35
1347,Andy Hughes,27/06/1995,Manchester,01/07/2013,100
1348,Kirill Kulemin,13/10/1980,Moscow,04/01/2013,59
1349,Phil Mackenzie,25/02/1987,Oakville,01/07/2013,59
1350,Luke McLean,29/06/1987,Townsville,12/05/2014,37
1351,Alberto De Marchi,13/03/1986,Jesolo,25/06/2014,37
1352,Magnus Lund,25/06/1983,Manchester,12/07/2014,40
1353,Chris Cusiter,13/06/1982,Aberdeen,13/07/2014,16
1354,Shalva Mamukashvili,02/10/1990,Tibilisi,15/08/2014,115
1355,Nathan Hines,29/03/1976,Wagga Wagga,15/01/2014,114
1356,John O'Donnell,24/06/1993,Wigan,30/06/2014,100
1357,Darren Fearn,17/12/2008,Scarborough,01/05/2014,2
1358,Nick Scott,13/06/1990,Hereford,01/09/2014,100
1359,Tim Jeffers,22/09/1994,Warrington,30/06/2014,100
1360,Daniel Baines,04/08/1986,Manchester,01/07/2013,100
1361,Daniel Baines,04/08/1986,Manchester,01/07/2013,100
1362,TJ Ioane,09/05/1989,Samoa,07/01/2015,65
1363,Peter Stringer,13/12/1977,Cork,15/06/2015,5
1364,Neil Briggs,01/06/1985,Germany,15/07/2015,4
1365,Ciaran Parker,05/10/1995,Stckport,01/10/2015,100
1366,Bryn Evans,28/10/1984,Hastings,07/06/2015,40
1367,Brian Mujati,24/09/1984,Bulawayo,30/06/2015,77
1368,Jake Pope,20/08/1997,Burnley,30/06/2015,100
1369,Nev Edwards,22/11/1987,London,30/09/2015,100
1370,Max Cobilas,13/07/1981,Epping,04/01/2015,100
1371,Tom Curry,15/06/1998,Hounslow,08/03/2016,100
1372,Ben Curry,15/06/1998,Hounslow,08/03/2016,100
1373,Denny Solomona,27/09/1993,Auckland,28/04/2016,73
1374,Josh Charnley,26/06/1991,Chorley,03/07/2016,41
1375,Laurence Pearce,03/12/1990,Grantham,26/07/2016,4
1376,Rob Webber,01/08/1986,York,01/02/2016,5
1377,AJ Macginty,26/02/1990,Dublin,13/05/2016,20
1378,Byron McGuigan,20/08/1989,Walvis Bay,27/07/2016,13
1379,Paolo Odogwu,18/02/1997,Coventry,03/07/2016,4
1380,Nic Dolly,11/06/1999,Sydney,14/12/2016,100
1381,Curtis Langdon,03/08/1997,Weston Super Mare,10/08/2016,7
1382,Halani Aulika,31/08/1983,Tonga,01/07/2016,7
1383,Sam Bedlow,08/08/1995,Rossendale,03/07/2016,100
1384,Laurence Pearce,03/12/1990,Grantham,03/06/2016,4
1385,Dan Mugford,09/10/1991,Plymouth,21/04/2016,89
1386,Lou Reed,10/09/1987,Treorchy,15/06/2016,23
1387,Teddy Leatherbarrow,23/02/2000,Chester,15/06/2016,100
1388,Kieran Longbottom,20/12/1985,Perth,30/06/2016,2
1389,Mike Phillips,29/08/1982,Carmarthen,30/06/2016,77
1390,Tom Morton,10/10/1995,Stockport,30/06/2016,100
1391,Matthew Rogerson,29/06/1993,Lancaster,01/07/2016,100
1392,Sam Moore,09/09/1998,Cardiff,04/02/2017,100
1393,Cameron Redpath,23/02/1999,Narbonne,03/03/2017,100
1394,Willgriff John,04/12/1992,Plymouth,06/06/2017,15
1395,Jono Ross,27/10/1990,Sandton,11/04/2017,84
1396,Josh Strauss,23/10/1986,Belville,28/02/2017,16
1397,James O'Connor,05/07/1990,Southport,26/07/2017,51
1398,Faf De Klerk,19/10/1991,Nelspruit,25/07/2017,104
1399,Alexandru Tarus,09/09/1989,Brasov,10/04/2017,47
1400,Marland Yarde,20/04/1992,Castries,30/10/2017,24
1401,Arron Reed,10/07/1999,Chester,26/07/2017,100
1402,Luke James,18/03/1999,Mancester,26/07/2017,100
1403,Sam Dugdale,30/09/1999,Lancaster,25/07/2017,100
1404,Kieran Wilkinson,03/10/1999,Blackpool,25/07/2017,100
1405,Connor Doherty,18/07/2000,Manchester,25/07/2017,100
1406,Ciaran Booth,04/05/2000,Stockport,25/07/2017,100
1407,Bevan Rodd,26/08/2000,Dunoon,25/07/2017,100
1408,Rouban Birch,20/09/1999,Stockport,18/10/2017,100
