DateOfMatch,SinBin1,SinBin2,SinBin3,SinBin4,SinBin5,MatchesID,SinBinsID
30/11/2003,Stuart Turner,Kevin Yates,NULL,NULL,NULL,NULL,1131
19/12/2003,Barry Stewart,NULL,NULL,NULL,NULL,NULL,1132
27/12/2003,NULL,NULL,NULL,NULL,NULL,NULL,1133
04/01/2004,NULL,NULL,NULL,NULL,NULL,NULL,1134
06/02/2004,Dean Schofield,Matt Cairns,NULL,NULL,NULL,NULL,1135
14/02/2004,Alex Sanderson,NULL,NULL,NULL,NULL,NULL,1136
21/02/2004,NULL,NULL,NULL,NULL,NULL,NULL,1137
26/03/2004,Mark Cueto,Stuart Turner,NULL,NULL,NULL,NULL,1138
03/04/2004,NULL,NULL,NULL,NULL,NULL,NULL,1139
23/04/2004,NULL,NULL,NULL,NULL,NULL,NULL,1140
02/05/2004,Andy Titterrell,NULL,NULL,NULL,NULL,NULL,1141
08/05/2004,Phil Davies,Mark Cueto,NULL,NULL,NULL,NULL,1142
05/09/2004,NULL,NULL,NULL,NULL,NULL,NULL,1143
11/09/2004,NULL,NULL,NULL,NULL,NULL,NULL,1144
17/09/2004,Robert Todd,NULL,NULL,NULL,NULL,NULL,1145
24/09/2004,Barry Stewart,NULL,NULL,NULL,NULL,NULL,1146
03/10/2004,NULL,NULL,NULL,NULL,NULL,NULL,1147
08/10/2004,NULL,NULL,NULL,NULL,NULL,NULL,1148
16/10/2004,Sebastien Bruno,NULL,NULL,NULL,NULL,NULL,1149
05/11/2004,NULL,NULL,NULL,NULL,NULL,NULL,1150
13/11/2004,Magnus Lund,NULL,NULL,NULL,NULL,NULL,1151
19/11/2004,Pete Anglesea,NULL,NULL,NULL,NULL,NULL,1152
26/11/2004,NULL,NULL,NULL,NULL,NULL,NULL,1153
27/12/2004,NULL,NULL,NULL,NULL,NULL,NULL,1154
02/01/2005,NULL,NULL,NULL,NULL,NULL,NULL,1155
29/01/2005,NULL,NULL,NULL,NULL,NULL,NULL,1156
06/02/2005,Pete Anglesea,NULL,NULL,NULL,NULL,NULL,1157
18/02/2005,Sebastien Bruno,NULL,NULL,NULL,NULL,NULL,1158
25/02/2005,NULL,NULL,NULL,NULL,NULL,NULL,1159
13/03/2005,Dean Schofield,NULL,NULL,NULL,NULL,NULL,1160
25/03/2005,Jason White,NULL,NULL,NULL,NULL,NULL,1161
09/04/2005,Chris Jones,NULL,NULL,NULL,NULL,NULL,1162
15/04/2005,NULL,NULL,NULL,NULL,NULL,NULL,1163
30/04/2005,NULL,NULL,NULL,NULL,NULL,NULL,1164
07/05/2005,Sililo Martens,NULL,NULL,NULL,NULL,NULL,1165
02/09/2005,Jason White,NULL,NULL,NULL,NULL,NULL,1166
10/09/2005,Andrew Sheridan,Chris Jones,NULL,NULL,NULL,NULL,1167
16/09/2005,NULL,NULL,NULL,NULL,NULL,NULL,1168
25/09/2005,NULL,NULL,NULL,NULL,NULL,NULL,1169
02/10/2005,John Carter,Nathan Bonner-Evans,NULL,NULL,NULL,NULL,1170
07/10/2005,NULL,NULL,NULL,NULL,NULL,NULL,1171
14/10/2005,Jason White,NULL,NULL,NULL,NULL,NULL,1172
21/10/2005,Ignacio Fernandez Lobbe,NULL,NULL,NULL,NULL,NULL,1173
28/10/2005,NULL,NULL,NULL,NULL,NULL,NULL,1174
05/11/2005,Robert Todd,NULL,NULL,NULL,NULL,NULL,1175
11/11/2005,NULL,NULL,NULL,NULL,NULL,NULL,1176
18/11/2005,Barry Stewart,Nathan Bonner-Evans,NULL,NULL,NULL,NULL,1177
27/11/2005,Magnus Lund,NULL,NULL,NULL,NULL,NULL,1178
02/12/2005,NULL,NULL,NULL,NULL,NULL,NULL,1179
09/12/2005,NULL,NULL,NULL,NULL,NULL,NULL,1180
16/12/2005,NULL,NULL,NULL,NULL,NULL,NULL,1181
26/12/2005,Robert Todd,Chris Mayor,NULL,NULL,NULL,NULL,1182
02/01/2006,NULL,NULL,NULL,NULL,NULL,NULL,1183
08/01/2006,NULL,NULL,NULL,NULL,NULL,NULL,1184
15/01/2006,NULL,NULL,NULL,NULL,NULL,NULL,1185
21/01/2006,Ignacio Fernandez Lobbe,Chris Jones,NULL,NULL,NULL,NULL,1186
28/01/2006,NULL,NULL,NULL,NULL,NULL,NULL,1187
11/02/2006,NULL,NULL,NULL,NULL,NULL,NULL,1188
17/02/2006,NULL,NULL,NULL,NULL,NULL,NULL,1189
26/02/2006,Ignacio Fernandez Lobbe,NULL,NULL,NULL,NULL,NULL,1190
10/03/2006,NULL,NULL,NULL,NULL,NULL,NULL,1191
25/03/2006,NULL,NULL,NULL,NULL,NULL,NULL,1192
02/04/2006,NULL,NULL,NULL,NULL,NULL,NULL,1193
08/04/2006,NULL,NULL,NULL,NULL,NULL,NULL,1194
16/04/2006,Sililo Martens,Eifion Lewis-Roberts,NULL,NULL,NULL,NULL,1195
